timestamp,total_consumo,total_pv,consumo_liquido
2011-12-01 09:30:00,21.107666666666663,9.5612,11.546466666666664
2011-12-01 10:00:00,22.39633333333333,11.806133333333333,10.590199999999998
2011-12-01 10:30:00,18.381333333333334,11.902066666666668,6.479266666666666
2011-12-01 11:00:00,19.23266666666667,15.899466666666667,3.3332000000000033
2011-12-01 11:30:00,20.535666666666668,19.440633333333334,1.0950333333333333
2011-12-01 12:00:00,20.009333333333334,20.309433333333335,0.8
2011-12-01 12:30:00,24.298666666666666,20.534333333333333,3.764333333333333
2011-12-01 13:00:00,25.314999999999998,20.4501,4.864899999999999
2011-12-01 13:30:00,25.313000000000006,18.701166666666666,6.61183333333334
2011-12-01 14:00:00,25.636,18.307599999999997,7.328400000000002
2011-12-01 14:30:00,24.052666666666667,15.668766666666668,8.383899999999999
2011-12-01 15:00:00,23.932999999999996,12.427933333333334,11.505066666666663
2011-12-01 15:30:00,23.791999999999998,9.601233333333333,14.190766666666665
2011-12-01 16:00:00,25.361333333333334,6.460733333333333,18.9006
2011-12-01 16:30:00,26.483,3.536466666666667,22.946533333333335
2011-12-01 17:00:00,28.833333333333332,0.9405333333333332,27.892799999999998
2011-12-01 17:30:00,38.422666666666665,0.022166666666666668,38.4005
2011-12-01 18:00:00,35.30166666666667,0.0,35.30166666666667
2011-12-01 18:30:00,34.56633333333334,0.0,34.56633333333334
2011-12-01 19:00:00,31.15433333333333,0.0,31.15433333333333
2011-12-01 19:30:00,27.201666666666668,0.0,27.201666666666668
2011-12-01 20:00:00,29.087666666666667,0.0,29.087666666666667
2011-12-01 20:30:00,26.218666666666667,0.0,26.218666666666667
2011-12-01 21:00:00,23.101,0.0,23.101
2011-12-01 21:30:00,21.264999999999997,0.0,21.264999999999997
2011-12-01 22:00:00,20.455333333333332,0.0,20.455333333333332
2011-12-01 22:30:00,18.790333333333336,0.0,18.790333333333336
2011-12-01 23:00:00,26.773666666666667,0.0,26.773666666666667
2011-12-01 23:30:00,25.32766666666667,0.0,25.32766666666667
2011-12-02 00:00:00,20.794999999999998,0.0,20.794999999999998
2011-12-02 00:30:00,18.754000000000005,0.0,18.754000000000005
2011-12-02 01:00:00,17.107,0.0,17.107
2011-12-02 01:30:00,17.27,0.0,17.27
2011-12-02 02:00:00,15.006333333333332,0.0,15.006333333333332
2011-12-02 02:30:00,14.636999999999995,0.0,14.636999999999995
2011-12-02 03:00:00,14.044333333333332,0.0,14.044333333333332
2011-12-02 03:30:00,13.377666666666663,0.0,13.377666666666663
2011-12-02 04:00:00,12.92733333333333,0.0,12.92733333333333
2011-12-02 04:30:00,11.836333333333334,0.0,11.836333333333334
2011-12-02 05:00:00,11.936666666666667,0.0,11.936666666666667
