timestamp,Real,LSTM,Transformer,XGBoost,Prophet,Ensemble
2011-05-09 19:00:00,48.8881,46.74629,64.98545,40.617104,70.4932290535505,50.31223083278508
2011-05-09 19:30:00,65.2847,55.316734,62.671207,46.435493,68.30570682432052,54.91879108709207
2011-05-09 20:00:00,57.76500000000001,66.86189,62.671207,60.012253,64.27684873591423,63.395364842310684
2011-05-09 20:30:00,55.054,60.824528,60.611313,55.650032,59.497082820784435,58.57013393374443
2011-05-09 21:00:00,45.870000000000005,57.700043,60.611313,52.64594,54.99501687354629,55.50075171207098
2011-05-09 21:30:00,41.088,48.34948,59.29197,45.91636,51.51595906976567,48.920356665463764
2011-05-09 22:00:00,31.810000000000002,44.317486,59.29197,42.699314,49.3779283004976,45.89165985323572
2011-05-09 22:30:00,31.262,39.825302,58.20961,37.822094,48.438033472759265,42.19497573690325
2011-05-09 23:00:00,51.03399999999999,41.437115,58.20961,39.052864,48.17431142886497,43.17781068707807
2011-05-09 23:30:00,45.693000000000005,57.828384,57.26955,45.85569,47.85927241136142,51.33225520869388
2011-05-10 00:00:00,38.256,51.88055,57.26955,42.69908,46.77887193323289,47.85902038661633
2011-05-10 00:30:00,35.5,37.907394,42.25165,39.09257,44.44011009434734,39.9365258295678
2011-05-10 01:00:00,32.274,35.888294,42.25165,32.945374,40.71451994332809,36.18377282814456
2011-05-10 01:30:00,30.319000000000003,33.75219,41.454563,30.840565,35.882226721498846,33.674401420271806
2011-05-10 02:00:00,20.927000000000003,32.449944,41.454563,27.818253,30.567380839704544,31.078637282357217
2011-05-10 02:30:00,19.182,25.564415,40.446117,23.599354,25.58373372719563,26.065886620479436
2011-05-10 03:00:00,25.436999999999998,24.193474,40.446114,18.680832,21.731695859190896,22.986941776711305
2011-05-10 03:30:00,19.479,28.9315,39.308765,24.871767,19.599659209589248,26.519628669970594
2011-05-10 04:00:00,20.409000000000002,24.774492,39.308765,19.108,19.419942760428853,22.829484540235658
2011-05-10 04:30:00,18.882999999999996,25.80239,38.153873,19.588285,21.014360078869828,23.567386964335242
2011-05-10 05:00:00,18.182000000000002,24.987324,38.153873,19.027859,23.840414403658148,23.591725504238635
2011-05-10 05:30:00,26.849,24.125069,36.992546,19.01973,27.12298660080988,23.79873694537069
2011-05-10 06:00:00,39.152,29.826923,36.992546,28.564266,30.035016020865807,29.98333437711933
2011-05-10 06:30:00,42.24179999999999,38.522995,35.84616,36.73856,31.879593899208732,36.38332840591892
2011-05-10 07:00:00,27.3037,40.229946,35.84616,36.506203,32.22774768299217,36.949131011482365
2011-05-10 07:30:00,35.9492,27.00239,33.89761,28.254763,30.98012744575083,28.800288603753092
2011-05-10 08:00:00,26.0823,31.809711,33.89761,30.94174,28.342717777893448,31.011096639032832
2011-05-10 08:30:00,27.838100000000004,23.44844,31.232357,23.074308,24.73042144261514,24.1972751813633
