timestamp,real_mean_horizon,LSTM_mean_horizon,Transformer_mean_horizon,XGBoost_mean_horizon,Prophet_mean_horizon,Ensemble_mean_horizon
2011-11-29 08:30:00,47.03789999999999,35.65301,32.47181,32.914425,38.91183501494663,34.157692192448465
2011-11-29 09:00:00,49.547300000000014,34.189137,32.424854,34.55777,38.07033266747952,34.41266634411181
2011-11-29 09:30:00,33.41870000000001,34.362625,32.49774,33.193897,37.21506008217197,33.667816460364776
2011-11-29 10:00:00,24.620199999999997,33.82541,32.532223,30.10732,36.503554603151535,31.88574575783274
2011-11-29 10:30:00,4.779600000000009,32.2863,32.591255,25.949635,36.05877887195932,29.361981477257814
2011-11-29 11:00:00,0.0,30.881006,32.515614,25.150496,35.946716489114536,28.607158992277977
2011-11-29 11:30:00,0.8348000000000013,30.742477,32.505787,26.593155,36.16888431075403,29.376174314181497
2011-11-29 12:00:00,4.3125,30.240955,32.522667,30.45279,36.67063318315443,31.308470486793617
2011-11-29 12:30:00,4.222900000000017,31.005005,32.525055,31.188324,37.3618947399549,31.985680428871426
2011-11-29 13:00:00,12.955300000000008,31.1637,32.506325,32.264244,38.14386088980629,32.6468496453608
2011-11-29 13:30:00,14.7046,31.803823,32.48681,32.83786,38.93379645190876,33.19896260064794
2011-11-29 14:00:00,7.477500000000013,33.872383,32.549194,32.54279,39.681099887573964,33.523054322977785
2011-11-29 14:30:00,13.0916,35.83455,32.533012,31.31216,40.37055088570318,33.39513922535954
2011-11-29 15:00:00,19.6757,38.391056,32.553345,34.788593,41.0126020536042,35.75156883052561
2011-11-29 15:30:00,44.534699999999994,40.294193,32.37727,36.870155,41.624473284784834,37.506680053872095
2011-11-29 16:00:00,64.60839999999999,41.347404,32.413124,40.224327,42.208589021391646,39.63216675842891
2011-11-29 16:30:00,67.39759999999998,43.398243,32.372353,42.574505,42.735770878202416,41.360255196244935
2011-11-29 17:00:00,94.2911,43.63874,32.319363,46.172142,43.13930214350188,43.411003089388565
2011-11-29 17:30:00,107.98080000000002,43.5801,32.25473,44.71093,43.3228618174173,42.58827349798135
2011-11-29 18:00:00,103.94500000000002,44.76999,32.175312,43.411125,43.18124153758547,42.10092956792821
2011-11-29 18:30:00,94.725,44.67239,32.190887,39.87901,42.62884622605101,40.14905826169426
2011-11-29 19:00:00,94.57899999999998,42.863834,32.02433,37.87106,41.62834519099052,38.61731892527107
2011-11-29 19:30:00,90.63299999999998,39.506165,31.927723,35.31014,40.21125637471903,36.32917583449525
2011-11-29 20:00:00,94.185,36.723198,31.918737,32.24712,38.48393362666719,33.90035317452428
2011-11-29 20:30:00,83.73700000000001,35.45122,31.932547,31.675365,36.61598798340039,33.19194036862636
2011-11-29 21:00:00,79.10900000000001,33.712273,31.942978,27.36886,34.81269251981051,30.381899266132876
2011-11-29 21:30:00,74.002,31.443872,32.009254,21.75651,33.27720172357759,26.84443287700474
2011-11-29 22:00:00,60.318,28.246866,32.027702,21.99265,32.171306061308634,25.885734788129355
